Model,Train_AUC,Val_AUC,Test_AUC,Test_Accuracy,Test_F1,Test_Precision,Test_Recall
RandomForest,0.9763873082400905,0.790718868474774,0.7891749080652647,0.9515113350125944,0.9751532752500807,0.9533123028391167,0.9980184940554822
GradientBoosting,0.9710615612872264,0.7678935966337542,0.7351654825234746,0.9496221662468514,0.9741435035552682,0.9537974683544304,0.9953764861294584
